CloseBTC,CloseETH
6296.91,432.48
6378.07,444.99
6250.57,431.14
6214.57,432.46
6251.99,433.19
6353.01,449.78
6723.35,478.49
7317.44,498.76
7381.9,479.41
7466.21,468.57
7337.53,449.04
7398.78,460.23
7394.79,457.47
7721.01,450.05
8397.24,479.28
8175.64,472.1
7920,462.64
8188.57,470.09
8225.04,469.29
8211,466.4
8173.92,456.23
7730.93,432.22
7604.58,420.41
7525.71,410.62
7418.78,417.52
7009.84,407.21
7024.19,408.79
6934.82,405.28
6720.06,378.21
6285,355.48
6529.79,363.3
6144.01,331.81
6232.35,317.69
6308.33,317.89
6246.35,283.81
6188.08,278.41
6267.16,281.12
6311.75,287.17
6584.49,317.51
6387.96,294.11
6477.53,299.42
6254.84,270.51
6480,281.21
6360.89,270.8
6525.01,275.99
6681.64,281.19
6733.64,277.55
6700,274.29
6908.64,287.71
7076.11,295.44
7031.22,288.4
6984.84,283.89
7011.21,281.41
7200.01,295.71
7302.01,295.41
7263.02,289.09
7359.06,285.3
6700,228.53
6516.01,229.7
6395.54,215.22
6185.05,196.71
6250.81,195.81
6312,197.15
6294.91,185.18
6338.62,183.12
6487.38,210.68
6476.63,208.82
6514.96,221.29
6505,220.17
6248.69,196.16
6336.45,208.17
6391.89,209.79
6492,224
6759.02,247.73
6723.05,241.01
6708,244.5
6581.39,228.06
6447.54,219.62
6465.12,214.42
6689.13,229.13
6634.58,221.84
6596.38,231.62
6626.57,232.94
6611.61,231.61
6525.79,225.69
6510,220.77
6593.79,222.66
6635.65,228.37
6594.27,225.4
6615.26,226.14
6673.01,230.01
6656.61,228.4
6631,226.74
6252.68,191.58
6298.01,196.96
6332.93,201.3
6339.34,197.01
6752.5,214.39
6759.27,215.09
6740.89,212.85
6618.96,206.24
6528.88,205
6588.4,207.91
6590.11,207.49
6581.2,206.67
6553.51,205.85
6565.5,205.35
6528.09,203.93
6538.63,204.92
6505.6,204.45
6489.93,204.99
6344.5,196.96
6330.87,197.27
6371.93,198.73
6410,199.96
6433.98,202.35
6387.09,200.31
6485.85,212.11
6468.99,210.66
6519.11,220.74
6578.46,219.07
6479.84,212.79
6419.99,210.77
6433.05,213.25
6449.81,212.54
6453.07,212.89
6457.66,209.84
5922.41,187.43
5753.4,184.35
5655.94,176.89
5628.29,176.2
5662,178.97
4910.03,150.81
4558.86,133.82
4661.07,138.23
4370,126.63
4420.61,125.02
3932.44,114.89
4085.78,118.67
3862.2,110.68
3875.21,111.43
4264.85,122.9
4295.84,117.98
4041.32,113.73
4190.02,118.1
4161.01,116.57
3884.01,108.76
3951.64,109.94
3769.84,102.71
3508.75,91
3403.55,93.05
3410.93,90.38
3545.37,93.26
3432.88,89.91
3380.39,87.76
3445,89.41
3302.06,86.34
3224.17,83.82
3211.72,83.76
3228.67,84.67
3509.08,94.02
3652.98,100.39
3662.22,98.74
4049.62,114.05
3838.66,107.69
3948.91,115.2
3929.71,129.03
4008.01,138.03
3745.79,127.6
3777.74,129.35
3567.91,113.8
3839.26,135.3
3695.32,132.89
3801.91,137.77
3702.9,131.45
3797.14,139.1
3858.56,152.01
3766.78,146.3
3792.01,151.97
3770.96,152.83
3987.6,153.86
3975.45,149.34
3955.13,147.6
3966.65,148.1
3585.88,124.95
3601.31,124.65
3583.13,123.35
3476.81,114.16
3626.09,126.95
3553.06,118.95
3591.84,121.48
3616.21,121.54
3594.87,119.17
3665.3,122.6
3539.28,117.47
3526.9,115.63
3570.93,117.81
3552.82,116.44
3569.62,116.39
3565.29,115.11
3565.25,115.34
3550.84,112.05
3434.15,105.5
3411.04,104.45
3458.18,108.29
3434.1,106.44
3462.07,106.73
3504.77,110.42
3458.11,107.36
3463.22,107.68
3471.59,107.27
3405.37,104.5
3398.4,104.48
3659.04,119.25
3665.18,119.19
3680.06,125.12
3631.05,120.89
3631.46,122.41
3609.4,121.86
3590.56,120.42
3602.47,121.67
3618.41,122.67
3667.58,133.75
3898.6,145.69
3907.79,143.44
3969.74,148.44
3937.31,145.69
3962,147.36
4117.76,157.79
3743.56,132.1
3827.92,137.87
3809.23,136.22
3818.07,135.02
3813.69,135.34
3823,135.32
3819.93,132.56
3807.75,130.6
3715.3,125.65
3857.73,136.72
3861.84,137.4
3873.64,136.81
3864.89,133.52
3943.04,137.27
3916.82,135.37
3871.61,132.67
3882.73,133.57
3866,131.65
3877.12,132.2
3923.76,136.56
4005.98,140.92
3981.14,138.67
3987.81,137.59
4015.53,138.55
4043.04,139.01
3980.64,134.85
3986.93,135.98
4006.01,137.28
3992.18,136.09
3936.12,133.98
3948.55,134.18
4038.05,139.45
4027.81,137.86
4103.25,143.25
4106.97,142.46
4103.95,141.38
4144.56,141.24
4857.29,163.31
4932.6,159.96
4898.66,157.36
5004.95,164.77
5043.89,165.5
5170.27,174.21
5236.9,178.72
5150,174.6
5308.25,177.12
5017.37,164.07
5048.01,163.19
5045.22,162.99
5131.3,167.23
5024.95,159.95
5173.72,165.37
5202.82,165.75
5258.44,173.33
5258.68,172.64
5291.73,172.88
5256.14,168.59
5357.14,170.52
5493.31,169.16
5415,164.78
5219.9,154.72
5314.1,157.95
5295.69,159.31
5307.52,157.85
5238.14,155.11
5320.81,161.83
5383.2,160.19
5492.87,161.81
5772.69,168.06
5829.45,163.7
5775.62,163.05
5747.79,173
5846.34,169.18
5987.29,170.85
6209.18,170.9
6373.33,172.91
7076.22,190.2
6967.31,188.11
7790.71,195.84
7947.56,216.4
8169.87,248.1
7866.59,264.25
7355.26,244.3
7257.45,233.6
8148.48,259.51
7938.15,250.37
7904.87,253.43
7628.43,243.64
7851.51,244.56
7964.87,248.87
8025.41,250.22
8614.43,264.45
8756.32,270.53
8715.64,271.03
8645.68,268.83
8269.54,254.56
8555,267.9
8544.07,264.33
8725.98,268.88
8115.82,249.91
7687.03,241.39
7776.5,245.63
7786.7,248.76
7980.53,248.77
7893.62,243.25
7628.13,230.98
7982.75,246.51
7884.9,244.29
8127.64,261.15
8218.54,254.67
8650,262.47
8808.7,267.82
8953.33,267.73
9313.96,273.16
9081.55,264.66
9255.49,268.14
9517.12,271.22
10159.86,294.35
10729.5,310.79
10906.07,308.52
11056.59,311.64
11820.86,318.26
13093.8,339.39
11329.99,298.35
12400.63,311.05
11903.13,317.62
10854.1,292.7
10624.93,295.07
10842.85,291.48
11940,301.14
11145.67,282.73
10970.73,287.47
11256.49,288.29
11406.24,304.72
12238.6,311.97
12543.41,307.46
12108.37,289.23
11342.89,268.63
11757.22,274.62
11355.76,268.79
10174.18,225.85
10838.72,228.2
9439.59,198.88
9667.92,210.81
10627.16,225.73
10504.29,220.73
10740.23,228.2
10589.45,225.38
10340.31,217.51
9864.91,212.48
9763.28,216.31
9879.87,219.14
9824,218.81
9476.52,207.3
9541.54,211.62
9507.64,210.89
9574.21,209.58
10080.53,218.42
10374.99,216.84
10523.75,217.61
10816.86,222.14
10929.23,221.79
11828.8,233.54
11481.69,226.28
11975.03,226.1
11999.77,221.39
11879.99,210.53
11309.31,206.48
11549.97,216.42
11396.08,211.41
10892.71,209.3
10050.37,187.1
10293.93,188.03
10331.54,184.88
10216.02,185.59
10306.78,194.33
10915.54,202.28
10760.51,196.6
10142.57,187.45
10099.88,190.35
10389.55,194.02
10134.35,190.6
10142.69,186.54
10372.25,188.67
10185.05,187.24
9721,173.03
9498.44,169.01
9584.54,168.5
9587.47,171.57
9724.98,170.74
10340,178.05
10615.28,178.75
10567.02,174.72
10564.49,173.75
10298.73,169.08
10455.88,177.62
10381.18,181.19
10303.12,180.54
10098.15,179.81
10158.33,178.28
10415.01,180.72
10342.06,180.95
10335.02,188.13
10302.01,189.03
10251.31,197.22
10187.82,207.84
10156.99,210.21
10244.29,220.24
10168.59,218.03
9986.39,215.05
10028.87,211.2
9702.25,201.29
8493.14,165.81
8430.05,169.96
8063.73,165.92
8177.91,173.79
8198.81,173.49
8043.82,169.24
8289.34,180.85
8292.44,175.66
8359.94,180.24
8223.96,174.69
8137.13,175.55
8126.19,176.25
7854.25,170.1
8190.09,179.85
8168.39,180.6
8560.74,192.62
8558.03,191.14
8258.5,180.72
8300.09,179.68
8275.01,180.99
8348.2,186.72
8159.29,180.49
7991.74,174.47
8070.58,177.16
7947.01,172.74
7948.01,171.79
8223.35,175.22
8197.27,173.98
8020,171.2
7466.62,162.35
7412.41,160.38
8655.02,181.5
9230,179.49
9529.93,183.75
9205.14,181.72
9407.62,190.46
9154.72,183.13
9140.85,182.18
9231.61,182.85
9289.52,182.91
9194.71,181.54
9393.35,185.71
9308.66,188.68
9339.05,191.16
9216.2,186.68
8773.73,183.74
8809.41,184.89
9039.47,188.96
8733.27,184.98
8821.94,187.09
8777.12,188.11
8646.68,184.92
8471.73,180
8491.02,182.37
8502.4,183.82
8187.17,178.2
8133.64,175.94
8098.01,174.72
7627.74,161.01
7268.23,149.56
7311.57,151.84
6903.28,139.96
7109.57,145.69
7156.14,147.47
7508.52,152.62
7419.49,150.72
7739.68,154.57
7541.89,151.37
7390.89,150.73
7294.28,148.65
7292.71,147.17
7194.32,145.38
7389,148.1
7527.47,148.45
7488.21,147.14
7510.11,150.44
7338.64,147.38
7224.13,145.56
7210,143.39
7198.08,144.87
7258.48,144.8
7064.05,141.79
7118.59,142.46
6891.72,132.73
6623.82,121.88
7277.83,132.78
7150.3,128.1
7187.83,128.19
7132.75,126.99
7501.44,132.09
7317.09,127.8
7255.77,127.75
7204.63,125.09
7202,125.58
7254.74,126.29
7316.14,128.11
7388.24,134.36
7246,131.59
7195.23,129.16
7200.85,130.77
6965.71,127.19
7344.96,134.35
7354.11,134.2
7358.75,135.37
