LongEntryThr,-1,-1,,,,RESULTS,zd5,zd10,zd20,COMBO,,,,,Correls,5day,10day,20day,TRY,-0.994766047,-0.301718876,-0.096730749,-2.087140557,-0.983561737,-0.962295287,-0.967506466,0,-0.316111803,,#signals,Lcaps,Scaps,,,,,#signals,Lcaps,Scaps,,,,,#signals,Lcaps,Scaps,,,,,,,,,,,
LongCap,1,1,,,,AvgRet,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,5day,1,#VALUE!,#VALUE!,SOME,-6.25323449,-2.616421677,-2.149303447,-0.027317921,-0.018041763,-1.897716653,-3.749706524,-1.688785518,-3.729939824,Longs,70,#VALUE!,#VALUE!,,,,Longs,85,#VALUE!,#VALUE!,,,,Longs,98,#VALUE!,#VALUE!,,,,,,,,,,,
ShortEntryThr,1,1,,,,Vol,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,10day,,1,#VALUE!,OF,0.683427198,1.436581354,0.944467495,0.920461897,1.319703354,0.71450468,1.118171127,0.658533692,1.439861606,Shorts,77,,,,,,Shorts,84,,,,,,Shorts,100,,,,,,,,,,,,,
ShortCap,-1,-1,,,,Sharpe,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,20day,,,1,THESE,4.579919169,1,6.547321059,3.239922556,3.508214062,3.303750304,2.704990609,-3,4.319928461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding Period,1,10,,,,Cumret,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,OUT!,32,21,24,19,18,27,19,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,%Time In,100.0%,100.0%,100.0%,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,ticker1,CloseBTC,ret1PEP,BTC_ret5,BTC_ret10,BTC_ret20,zBTC5,zBTC10,zBTC20,ticker2,CloseETH,ret1ETH,ETH_ret5,ETH_ret10,ETH_ret20,zETH5,zETH10,zETH20,zdiff5,zdiff10,zdiff20,vol20BTC,vol20ETH,WtBTC,wtETH,sumwts,wbtc,weth,FRet1,Signal5,Lcap5?,Scap5?,Age5,Aged5?,pos5,fret1_z5,Signal10,Lcap10?,Scap10?,Age10,Aged10?,pos10,fret1_z10,Signal20,Lcap20?,Scap20?,Age20,Aged20?,pos20,fret1_z20,Z5EQ,Z10EQ,Z20EQ,ComboRet,ComboEQ,Agree5_20,Agree5_10
7/10/18,BTC,6296.91,,,,,,,,ETH,432.48,,,,,,,,,,,,,,,,,,,0,0,0,#VALUE!,0,pos5,#VALUE!,0,0,0,#VALUE!,0,pos10,#VALUE!,0,0,0,#VALUE!,0,pos20,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/11/18,BTC,6378.07,0.0129,,,,,,,ETH,444.99,0.0289,,,,,,,,,,,,,,,,,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/12/18,BTC,6250.57,-0.0200,,,,,,,ETH,431.14,-0.0311,,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/13/18,BTC,6214.57,-0.0058,,,,,,,ETH,432.46,0.0031,,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/14/18,BTC,6251.99,0.0060,,,,,,,ETH,433.19,0.0017,,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/15/18,BTC,6353.01,0.0162,0.0089,,,,,,ETH,449.78,0.0383,0.0400,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/16/18,BTC,6723.35,0.0583,0.0541,,,,,,ETH,478.49,0.0638,0.0753,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/17/18,BTC,7317.44,0.0884,0.1707,,,,,,ETH,498.76,0.0424,0.1568,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
7/18/18,BTC,7381.90,0.0088,0.1878,,,,,,ETH,479.41,-0.0388,0.1086,,,,,,,,,,,,,,,,,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0
